OID,Join_Count,TARGET_FID,Diam_km,x_coord,y_coord,Area,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Leng,Shape_Area,Area_km2,Diam_km1
-1,1,263,51.59037866,-36.02703624,29.02448234,2387.404371,1,28.857,-36.254,3.449,173872.3026,2387404371,2387.404371,55
-1,1,268,29.22334983,-33.53735609,30.66774645,778.7388629,1,30.545,-33.354,22.458,99387.39193,778738862.9,778.7388629,31
-1,1,280,43.5028711,-37.48021502,22.69000802,1608.877607,1,22.782,-37.52,7.784,142419.427,1608877607,1608.877607,45
-1,1,292,40.07466351,-35.4728859,12.40821213,1289.754612,1,12.468,-35.58,14.425,127373.5252,1289754612,1289.754612,41
-1,1,296,82.12190865,-34.95357929,9.542651888,5370.407506,1,9.479,-35.034,23.738,259817.4873,5370407506,5370.407506,83
-1,1,301,85.3516603,-37.63931559,5.242768756,5744.913924,1,4.96,-37.741,7.958,268714.9144,5744913924,5744.913924,86
-1,1,306,38.93383619,-37.77014858,0.502797913,1188.976842,1,0.755,-38.098,3.965,122283.0163,1188976842,1188.976842,39
-1,1,308,98.80234678,-42.61938262,-3.548598707,7680.907778,1,-3.048,-42.146,98.739,310709.9355,7680907778,7680.907778,99
-1,1,317,56.31662963,-26.02180233,-1.456569045,2488.397356,1,-1.454,-26.225,7.584,176904.6785,2488397356,2488.397356,56
-1,1,320,95.07563171,-23.70584276,0.146567896,7098.764011,1,-0.058,-23.756,50.49,298703.229,7098764011,7098.764011,95
-1,1,326,62.29244344,-23.60572203,6.213575935,3061.521205,1,6.443,-23.757,9.742,196223.4609,3061521205,3061.521205,62
-1,1,327,92.49083003,-21.30257688,10.72126766,6837.340648,1,10.598,-21.536,84.829,293168.6857,6837340648,6837.340648,93
-1,1,329,45.10888045,-25.88426223,9.116815932,1616.399911,1,9.125,-25.721,10.923,142582.8518,1616399911,1616.399911,45
-1,1,331,40.72178888,-30.95213829,9.091303403,1317.184336,1,9.039,-30.748,5.486,128711.1026,1317184336,1317.184336,41
-1,1,334,66.12083545,-30.30750367,13.74053895,3533.635112,1,13.45,-30.638,23.306,210792.1128,3533635112,3533.635112,67
-1,1,335,85.08386173,-27.39664746,13.16549591,5838.492722,1,12.872,-27.59,51.26,270930.3685,5838492722,5838.492722,86
-1,1,336,40.31917301,-25.96334796,12.56621601,1306.338784,1,12.517,-25.963,14.34,128190.5311,1306338784,1306.338784,41
-1,1,339,41.87289527,-26.73936053,14.49074121,1420.394781,1,14.476,-26.736,193.866,133681.1537,1420394781,1420.394781,43
-1,1,348,70.04131818,-31.12038913,22.33987884,4165.105255,1,22.125,-31.137,19.617,229068.0047,4165105255,4165.105255,73
-1,1,351,107.331584,-22.83380975,23.46237546,9862.384361,1,23.305,-22.762,100.08,352577.7965,9862384361,9862.384361,112
-1,1,354,81.70066784,-29.55875,27.19394914,5893.319635,1,26.97,-29.675,115.622,272875.3308,5893319634,5893.319634,87
-1,1,373,69.09086742,-25.31321308,5.217796394,3764.244369,1,5.074,-25.351,30.807,217514.8322,3764244369,3764.244369,69
-1,1,380,202.23565,-64.85016823,24.70636848,35360.98548,2,25.374,-64.311,74.153,667827.865,35360985479,35360.98548,212
-1,1,380,202.23565,-64.85016823,24.70636848,35360.98548,2,25.374,-64.311,74.153,667827.865,35360985479,35360.98548,212
-1,1,400,47.34553489,-30.34669429,10.2001932,1786.408757,1,10.221,-30.152,3.257,149896.0904,1786408757,1786.408757,48
-1,1,402,123.0593267,-30.49936061,15.46521312,12339.63566,1,16.325,-30.08,177.539,393919.3755,12339635658,12339.63566,125
-1,1,407,141.1940429,-33.99577437,3.798989978,15691.18819,1,3.619,-34.294,2.458,444096.0023,15691188191,15691.18819,141
-1,1,413,21.0445932,-36.46314336,1.299179937,347.4501946,1,1.192,-36.407,78.262,66103.69382,347450194.6,347.4501946,21
-1,1,414,294.0038998,-36.52332313,-1.386362771,67949.08364,5,-2.496,-38.415,17.413,924075.9956,67949083640,67949.08364,294
-1,1,414,294.0038998,-36.52332313,-1.386362771,67949.08364,5,-2.496,-38.415,17.413,924075.9956,67949083640,67949.08364,294
-1,1,414,294.0038998,-36.52332313,-1.386362771,67949.08364,5,-2.496,-38.415,17.413,924075.9956,67949083640,67949.08364,294
-1,1,414,294.0038998,-36.52332313,-1.386362771,67949.08364,5,-2.496,-38.415,17.413,924075.9956,67949083640,67949.08364,294
-1,1,414,294.0038998,-36.52332313,-1.386362771,67949.08364,5,-2.496,-38.415,17.413,924075.9956,67949083640,67949.08364,294
-1,1,419,392.6345935,-56.11763522,-2.633247495,121322.3706,2,-3.95,-56.143,8.317,1234771.474,1.21E+11,121322.3706,393
-1,1,419,392.6345935,-56.11763522,-2.633247495,121322.3706,2,-3.95,-56.143,8.317,1234771.474,1.21E+11,121322.3706,393
-1,1,427,199.7805364,-35.97775986,24.68950291,34502.79045,1,23.751,-36.181,12.856,659672.2719,34502790453,34502.79045,210
