OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
48,0,48,1,23.115057,-71.899962,97.125,48.5625 Kilometer,48562.5,47,,,,,7.48263903,4.443526975
49,1,49,1,-0.033484,-23.787861,97.026723,48.5133615 Kilometer,48513.3615,48,8161,-0.058,-23.756,50.49,7.159283658,4.078490772
50,0,50,1,11.351373,-28.967029,96.233184,48.116592 Kilometer,48116.592,49,,,,,7.171748607,4.092099543
51,0,51,1,27.694535,-47.59326,95.830855,47.9154275 Kilometer,47915.4275,50,,,,,7.535511968,4.493392078
52,0,52,1,-5.908893,-29.121899,95.401741,47.7008705 Kilometer,47700.8705,51,,,,,7.058190319,3.964074313
53,1,53,1,21.94601,-67.582258,94.680951,47.3404755 Kilometer,47340.4755,52,7138,22.217,-67.584,5.356,7.261694432,4.187094844
54,1,54,1,12.997246,-27.655297,94.580393,47.2901965 Kilometer,47290.1965,53,8192,12.872,-27.59,51.26,7.070825572,3.977313147
55,0,55,1,-8.496945,-32.953062,93.91266,46.95633 Kilometer,46956.33,54,,,,,6.968006822,3.863283492
56,0,56,1,13.408181,-51.448102,93.788542,46.894271 Kilometer,46894.271,55,,,,,7.017644231,3.917574275
57,0,57,1,-3.554816,-60.226561,93.071048,46.535524 Kilometer,46535.524,56,,,,,6.874015312,3.759928387
58,0,58,1,26.505864,-33.585661,91.785611,45.8928055 Kilometer,45892.8055,57,,,,,7.17586124,4.078472031
59,0,59,1,-2.667576,-24.645762,91.296535,45.6482675 Kilometer,45648.2675,58,,,,,6.740106577,3.614863957
60,1,60,1,1.385878,-21.839661,91.095444,45.547722 Kilometer,45547.722,59,8060,1.59,-21.157,23.438,6.722597276,3.596108717
61,1,61,1,-7.23026,-66.766294,90.269946,45.134973 Kilometer,45134.973,60,7155,-7.314,-66.92,10.137,6.68742404,3.558488256
62,1,62,1,5.091974,-37.64266,90.232233,45.1161165 Kilometer,45116.1165,61,8042,4.96,-37.741,7.958,6.671115196,3.541217515
63,0,63,1,1.568631,-48.319262,90.080777,45.0403885 Kilometer,45040.3885,62,,,,,6.647985451,3.516722766
64,0,64,1,-7.792534,-53.785662,89.707458,44.853729 Kilometer,44853.729,63,,,,,6.650080084,3.518824451
65,0,65,1,-9.009329,-54.259062,89.67059,44.835295 Kilometer,44835.295,64,,,,,6.65786614,3.52697863
66,0,66,1,26.369023,-53.594234,89.036895,44.5184475 Kilometer,44518.4475,65,,,,,6.956476805,3.833275509
67,0,67,1,-10.392426,-48.285662,88.561171,44.2805855 Kilometer,44280.5855,66,,,,,6.589221751,3.454467548
68,0,68,1,13.412169,-53.694461,88.27419,44.137095 Kilometer,44137.095,67,,,,,6.605070527,3.470462015
69,1,69,1,10.553494,-21.494461,87.43694,43.71847 Kilometer,43718.47,68,8188,10.598,-21.536,84.829,6.507281579,3.369058856
70,0,70,1,-7.692559,-58.585661,85.747801,42.8739005 Kilometer,42873.9005,69,,,,,6.355772825,3.214250587
71,0,71,1,21.106241,-24.485661,85.664172,42.832086 Kilometer,42832.086,70,,,,,6.550104375,3.407740561
72,0,72,1,14.770097,-41.24106,85.532542,42.766271 Kilometer,42766.271,71,,,,,6.419425181,3.277662829
73,1,73,1,5.00695,-25.38566,85.214032,42.607016 Kilometer,42607.016,72,8196,5.074,-25.351,30.807,6.299672975,3.157839342
74,0,74,1,31.85325,-43.73926,83.630299,41.8151495 Kilometer,41815.1495,73,,,,,6.729009535,3.567185007
75,0,75,1,28.278173,-50.899967,83.225704,41.612852 Kilometer,41612.852,74,,,,,6.563652449,3.407354489
76,1,76,1,27.122145,-29.750561,82.732439,41.3662195 Kilometer,41366.2195,75,8166,26.97,-29.675,115.622,6.487144947,3.331599701
77,0,77,1,26.826112,-51.59186,82.581447,41.2907235 Kilometer,41290.7235,76,,,,,6.466060276,3.310726183
78,0,78,1,-9.990259,-50.813563,82.243776,41.121888 Kilometer,41121.888,77,,,,,6.115257168,2.975406492
79,0,79,1,-1.411212,-21.984161,82.132063,41.0660315 Kilometer,41066.0315,78,,,,,6.061123891,2.92321946
80,1,80,1,34.605745,-34.88566,80.776343,40.3881715 Kilometer,40388.1715,79,8065,35.508,-34.55,0.17,6.61637138,3.434285008
81,0,81,1,35.905668,-40.185659,80.676887,40.3384435 Kilometer,40338.4435,80,,,,,6.669509231,3.481227558
82,0,82,1,0.107135,-60.38566,80.010082,40.005041 Kilometer,40005.041,81,,,,,5.903627874,2.773269043
83,0,83,1,7.520796,-44.460062,79.254695,39.6273475 Kilometer,39627.3475,82,,,,,5.873284307,2.744754173
84,0,84,1,6.506918,-34.785662,79.239708,39.619854 Kilometer,39619.854,83,,,,,5.865748066,2.73774885
85,0,85,1,30.746071,-41.95566,77.246013,38.6230065 Kilometer,38623.0065,84,,,,,6.174609564,3.007737341
86,0,86,1,-7.629691,-47.539819,77.024854,38.512427 Kilometer,38512.427,85,,,,,5.708755621,2.593119087
87,0,87,1,36.105838,-48.88566,75.540467,37.7702335 Kilometer,37770.2335,86,,,,,6.254038414,3.05977938
88,1,88,1,22.283043,-31.168461,75.528005,37.7640025 Kilometer,37764.0025,87,8170,22.125,-31.137,19.617,5.799976176,2.670686103
89,1,89,1,13.451954,-63.208162,75.309914,37.654957 Kilometer,37654.957,88,1048,14.01,-62.764,422.622,5.635452497,2.526288573
