OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
463,0,463,1,33.707609,-59.132129,22.22351,11.111755 Kilometer,11111.755,462,,,,,1.809081533,0.257084067
464,0,464,1,7.48041,-40.888497,22.185898,11.092949 Kilometer,11092.949,463,,,,,1.643856125,0.214969188
465,0,465,1,4.465809,-64.442693,22.161286,11.080643 Kilometer,11080.643,464,,,,,1.637498297,0.213314668
466,0,466,1,-7.379265,-73.208555,22.157634,11.078817 Kilometer,11078.817,465,,,,,1.641571753,0.214372455
467,1,467,1,29.727467,-53.905565,22.150627,11.0753135 Kilometer,11075.3135,466,1010,29.942,-53.798,78.333,1.760238012,0.244661656
468,1,468,1,11.562888,-50.097597,22.096443,11.0482215 Kilometer,11048.2215,467,1019,11.574,-50.056,22.255,1.647152393,0.21580405
469,0,469,1,15.742587,-69.999651,22.028278,11.014139 Kilometer,11014.139,468,,,,,1.65701447,0.218310719
470,0,470,1,3.544475,-66.51376,22.009514,11.004757 Kilometer,11004.757,469,,,,,1.625366866,0.210166127
471,0,471,1,-9.478466,-61.570761,21.987292,10.993646 Kilometer,10993.646,470,,,,,1.633416872,0.21223832
472,0,472,1,29.630202,-27.28236,21.926332,10.963166 Kilometer,10963.166,471,,,,,1.741482777,0.239500075
473,0,473,1,36.376059,-40.916549,21.878403,10.9392015 Kilometer,10939.2015,472,,,,,1.814733837,0.257433319
474,0,474,1,10.625245,-71.445581,21.863866,10.931933 Kilometer,10931.933,473,,,,,1.627160555,0.210605688
475,0,475,1,9.167183,-29.060109,21.859039,10.9295195 Kilometer,10929.5195,474,,,,,1.623153142,0.209580117
476,0,476,1,-3.742244,-25.726099,21.846021,10.9230105 Kilometer,10923.0105,475,,,,,1.613466082,0.207098496
477,0,477,1,9.769618,-39.642637,21.843398,10.921699 Kilometer,10921.699,476,,,,,1.623429146,0.209647611
478,0,478,1,11.950741,-72.352768,21.832041,10.9160205 Kilometer,10916.0205,477,,,,,1.628603235,0.210964984
479,0,479,1,-3.879819,-63.403082,21.789458,10.894729 Kilometer,10894.729,478,,,,,1.609417466,0.206060415
480,0,480,1,6.520535,-73.755252,21.732293,10.8661465 Kilometer,10866.1465,479,,,,,1.608576971,0.2058424
481,0,481,1,12.599005,-32.83692,21.708089,10.8540445 Kilometer,10854.0445,480,,,,,1.621385897,0.209090362
482,0,482,1,28.15139,-53.899061,21.69559,10.847795 Kilometer,10847.795,481,,,,,1.709711405,0.231166894
483,0,483,1,4.507127,-60.985661,21.614506,10.807253 Kilometer,10807.253,482,,,,,1.597137351,0.202927534
484,0,484,1,32.919442,-72.301284,21.613006,10.806503 Kilometer,10806.503,483,,,,,1.75038376,0.240962075
485,0,485,1,26.900209,-25.697276,21.590681,10.7953405 Kilometer,10795.3405,484,,,,,1.690924073,0.226345949
486,0,486,1,20.918477,-39.79027,21.545691,10.7728455 Kilometer,10772.8455,485,,,,,1.646145991,0.215197789
487,0,487,1,9.088083,-59.87546,21.508161,10.7540805 Kilometer,10754.0805,486,,,,,1.596919696,0.202860813
488,0,488,1,-1.921142,-27.759364,21.370753,10.6853765 Kilometer,10685.3765,487,,,,,1.577118262,0.197871798
489,0,489,1,14.820673,-53.397238,21.335674,10.667837 Kilometer,10667.837,488,,,,,1.601286693,0.203895274
490,0,490,1,-7.11345,-42.941913,21.26798,10.63399 Kilometer,10633.99,489,,,,,1.57518405,0.197382348
491,0,491,1,11.44512,-61.816727,21.253223,10.6266115 Kilometer,10626.6115,490,,,,,1.583949866,0.199559577
492,0,492,1,18.093789,-58.286614,21.090335,10.5451675 Kilometer,10545.1675,491,,,,,1.5967169,0.202624722
493,1,493,1,1.282097,-36.503134,21.03797,10.518985 Kilometer,10518.985,492,8182,1.192,-36.407,78.262,1.55231264,0.191695163
494,0,494,1,32.74868,-67.783211,21.018429,10.5092145 Kilometer,10509.2145,493,,,,,1.700371638,0.227443271
495,0,495,1,16.260416,-41.975561,21.014494,10.507247 Kilometer,10507.247,494,,,,,1.582851937,0.199187437
496,0,496,1,-10.717888,-35.407275,21.010598,10.505299 Kilometer,10505.299,495,,,,,1.56389021,0.194542655
497,0,497,1,17.009172,-29.879326,21.006309,10.5031545 Kilometer,10503.1545,496,,,,,1.585426665,0.199810952
498,0,498,1,12.313573,-33.782255,20.976009,10.4880045 Kilometer,10488.0045,497,,,,,1.56581987,0.195006075
499,0,499,1,10.594981,-65.48852,20.920545,10.4602725 Kilometer,10460.2725,498,,,,,1.556868914,0.192800741
500,0,500,1,-9.746062,-57.47564,20.903253,10.4516265 Kilometer,10451.6265,499,,,,,1.553491434,0.191971195
501,0,501,1,-8.720231,-29.479815,20.806154,10.403077 Kilometer,10403.077,500,,,,,1.544004531,0.189639102
502,0,502,1,2.023168,-66.329641,20.773008,10.386504 Kilometer,10386.504,501,,,,,1.533048196,0.186966729
503,0,503,1,31.388887,-25.009283,20.662008,10.331004 Kilometer,10331.004,502,,,,,1.657625172,0.216547864
504,0,504,1,-6.045011,-47.847022,20.527005,10.2635025 Kilometer,10263.5025,503,,,,,1.518653038,0.183468749
505,0,505,1,8.445458,-70.418223,20.460875,10.2304375 Kilometer,10230.4375,504,,,,,1.517822856,0.18326218
506,0,506,1,22.827407,-48.850792,20.446842,10.223421 Kilometer,10223.421,505,,,,,1.573250224,0.19640966
507,0,507,1,36.432069,-68.112192,20.391815,10.1959075 Kilometer,10195.9075,506,,,,,1.692119123,0.223790827
508,0,508,1,-2.206361,-61.771662,20.345796,10.172898 Kilometer,10172.898,507,,,,,1.501603885,0.179374506
509,0,509,1,-5.898113,-67.238918,20.337728,10.168864 Kilometer,10168.864,508,,,,,1.504447141,0.180052566
510,0,510,1,29.639758,-34.416985,20.304712,10.152356 Kilometer,10152.356,509,,,,,1.612751643,0.205393887
511,0,511,1,7.516431,-49.085859,20.283229,10.1416145 Kilometer,10141.6145,510,,,,,1.502922906,0.179684788
512,0,512,1,-3.302219,-43.45471,20.227218,10.113609 Kilometer,10113.609,511,,,,,1.49353511,0.177450672
513,0,513,1,21.027242,-30.418251,20.211061,10.1055305 Kilometer,10105.5305,512,,,,,1.544748336,0.189491429
514,0,514,1,3.073055,-23.736871,20.192179,10.0960895 Kilometer,10096.0895,513,,,,,1.490781663,0.176797033
515,0,515,1,29.200372,-71.343485,20.107244,10.053622 Kilometer,10053.622,514,,,,,1.593256761,0.200546508
516,0,516,1,-1.654805,-70.095861,20.015457,10.0077285 Kilometer,10007.7285,515,,,,,1.476978939,0.173538485
517,0,517,1,4.264548,-62.817915,19.986962,9.993481 Kilometer,9993.481,516,,,,,1.476810358,0.173544002
518,0,518,1,31.038753,-39.917179,19.934871,9.9674355 Kilometer,9967.4355,517,,,,,1.596190578,0.200932252
519,0,519,1,34.872406,-35.151081,19.918067,9.9590335 Kilometer,9959.0335,518,,,,,1.634488071,0.209491364
520,0,520,1,28.168336,-48.414921,19.888787,9.9443935 Kilometer,9944.3935,519,,,,,1.5676487,0.194390125
521,0,521,1,-10.283756,-66.884883,19.824741,9.9123705 Kilometer,9912.3705,520,,,,,1.474757736,0.17304529
522,0,522,1,-0.775079,-30.395282,19.819052,9.909526 Kilometer,9909.526,521,,,,,1.462439426,0.17018329
523,0,523,1,-0.504832,-29.08226,19.712159,9.8560795 Kilometer,9856.0795,522,,,,,1.454513074,0.168343417
524,0,524,1,13.106352,-28.1171,19.567501,9.7837505 Kilometer,9783.7505,523,,,,,1.463182442,0.170311549
525,0,525,1,23.079378,-51.990263,19.558591,9.7792955 Kilometer,9779.2955,524,,,,,1.506585585,0.180142195
526,0,526,1,15.557076,-27.497061,19.34277,9.671385 Kilometer,9671.385,525,,,,,1.454493297,0.16825071
527,0,527,1,14.449164,-36.518467,19.260952,9.630476 Kilometer,9630.476,526,,,,,1.444494763,0.165967767
528,0,528,1,14.964827,-66.233745,19.217498,9.608749 Kilometer,9608.749,527,,,,,1.442981804,0.165610504
529,0,529,1,28.334745,-54.859147,19.179274,9.589637 Kilometer,9589.637,528,,,,,1.513014535,0.181049591
530,0,530,1,30.969432,-67.758315,19.170752,9.585376 Kilometer,9585.376,529,,,,,1.534383181,0.185687695
531,0,531,1,-5.591397,-62.0105,19.166661,9.5833305 Kilometer,9583.3305,530,,,,,1.417615837,0.159909209
532,0,532,1,21.834635,-33.573671,19.150309,9.5751545 Kilometer,9575.1545,531,,,,,1.46813647,0.171155468
533,0,533,1,19.270962,-34.613062,19.128342,9.564171 Kilometer,9564.171,532,,,,,1.453596805,0.167921608
534,0,534,1,31.454782,-21.58649,19.052795,9.5263975 Kilometer,9526.3975,533,,,,,1.529318476,0.184353234
535,0,535,1,33.805167,-24.78365,19.026814,9.513407 Kilometer,9513.407,534,,,,,1.550037325,0.188744596
536,0,536,1,-5.608982,-62.66852,19.002175,9.5010875 Kilometer,9501.0875,535,,,,,1.405470793,0.15718087
537,0,537,1,0.26421,-58.790635,18.980175,9.4900875 Kilometer,9490.0875,536,,,,,1.400480198,0.156067954
538,0,538,1,31.865588,-71.627768,18.944171,9.4720855 Kilometer,9472.0855,537,,,,,1.52437018,0.183064766
539,0,539,1,35.625503,-36.008512,18.911966,9.455983 Kilometer,9455.983,538,,,,,1.560241754,0.190623554
540,0,540,1,11.027585,-42.437643,18.851535,9.4257675 Kilometer,9425.7675,539,,,,,1.404094682,0.156854042
541,0,541,1,-7.820092,-45.469061,18.826059,9.4130295 Kilometer,9413.0295,540,,,,,1.395628152,0.154983237
542,0,542,1,5.513793,-50.582153,18.801835,9.4009175 Kilometer,9400.9175,541,,,,,1.390539574,0.153858931
543,0,543,1,0.309257,-52.763506,18.781724,9.390862 Kilometer,9390.862,542,,,,,1.385839467,0.152821818
544,0,544,1,17.694971,-34.025961,18.781059,9.3905295 Kilometer,9390.5295,543,,,,,1.42039885,0.160397499
545,0,545,1,-10.001736,-46.237845,18.76995,9.384975 Kilometer,9384.975,544,,,,,1.395667514,0.154983421
546,0,546,1,-5.411412,-31.207661,18.745564,9.372782 Kilometer,9372.782,545,,,,,1.386259048,0.152913224
547,0,547,1,14.462485,-25.489061,18.742064,9.371032 Kilometer,9371.032,546,,,,,1.405622431,0.157154919
548,0,548,1,-8.148898,-46.184674,18.7206,9.3603 Kilometer,9360.3,547,,,,,1.388372478,0.153374951
549,0,549,1,-10.210028,-59.803914,18.592564,9.296282 Kilometer,9296.282,548,,,,,1.382930466,0.152166274
550,0,550,1,13.017677,-32.475935,18.556332,9.278166 Kilometer,9278.166,549,,,,,1.38731438,0.153108148
551,0,551,1,31.000826,-45.937824,18.522627,9.2613135 Kilometer,9261.3135,550,,,,,1.482778685,0.173400594
552,0,552,1,25.421121,-56.431636,18.516476,9.258238 Kilometer,9258.238,551,,,,,1.440421993,0.164456444
553,0,553,1,12.965797,-62.264506,18.504287,9.2521435 Kilometer,9252.1435,552,,,,,1.383276065,0.152218703
554,0,554,1,11.733054,-24.369869,18.490329,9.2451645 Kilometer,9245.1645,553,,,,,1.378923605,0.151274846
555,0,555,1,-6.92426,-42.582158,18.486758,9.243379 Kilometer,9243.379,554,,,,,1.369079719,0.149144649
556,0,556,1,30.455062,-27.202709,18.425641,9.2128205 Kilometer,9212.8205,555,,,,,1.470374222,0.17062065
557,0,557,1,1.644558,-59.559292,18.374321,9.1871605 Kilometer,9187.1605,556,,,,,1.35604669,0.146321418
558,0,558,1,7.651785,-71.963298,18.362521,9.1812605 Kilometer,9181.2605,557,,,,,1.360989968,0.147385736
559,0,559,1,-5.41985,-40.406937,18.355678,9.177839 Kilometer,9177.839,558,,,,,1.357434599,0.146619994
560,0,560,1,-5.067577,-63.897789,18.352804,9.176402 Kilometer,9176.402,559,,,,,1.356837986,0.1464914
561,0,561,1,17.043841,-36.394866,18.330077,9.1650385 Kilometer,9165.0385,560,,,,,1.383742089,0.152244092
562,0,562,1,28.239841,-46.673783,18.308475,9.1542375 Kilometer,9154.2375,561,,,,,1.443611685,0.164834277
563,0,563,1,22.671104,-32.691933,18.304609,9.1523045 Kilometer,9152.3045,562,,,,,1.407741064,0.157308271
564,0,564,1,-6.807744,-60.970585,18.297608,9.148804 Kilometer,9148.804,563,,,,,1.354904518,0.146072299
565,0,565,1,-9.357016,-47.846839,18.233054,9.116527 Kilometer,9116.527,564,,,,,1.354430033,0.145962926
566,0,566,1,32.907941,-71.786753,18.231051,9.1155255 Kilometer,9115.5255,565,,,,,1.47654967,0.171508774
567,0,567,1,21.829001,-30.112015,18.195852,9.097926 Kilometer,9097.926,566,,,,,1.394932263,0.154512421
568,0,568,1,2.752958,-62.963058,18.175935,9.0879675 Kilometer,9087.9675,567,,,,,1.341903667,0.143285026
569,0,569,1,5.784118,-48.550214,18.138554,9.069277 Kilometer,9069.277,568,,,,,1.341797242,0.14326097
570,0,570,1,-6.170164,-33.206656,17.965902,8.982951 Kilometer,8982.951,569,,,,,1.329495649,0.140645675
571,0,571,1,2.329097,-65.043271,17.884429,8.9422145 Kilometer,8942.2145,570,,,,,1.320164831,0.138680133
572,0,572,1,8.835044,-62.541222,17.851379,8.9256895 Kilometer,8925.6895,571,,,,,1.325100244,0.139711447
573,0,573,1,9.138318,-56.573658,17.825812,8.912906 Kilometer,8912.906,572,,,,,1.323761488,0.139428206
574,0,574,1,27.633072,-43.298493,17.794544,8.897272 Kilometer,8897.272,573,,,,,1.398788655,0.154837489
575,0,575,1,23.625556,-34.953562,17.733537,8.8667685 Kilometer,8866.7685,574,,,,,1.368992533,0.148700586
576,0,576,1,5.774069,-54.810263,17.731568,8.865784 Kilometer,8865.784,575,,,,,1.311677881,0.136901406
577,0,577,1,32.558204,-49.291123,17.666122,8.833061 Kilometer,8833.061,576,,,,,1.427627769,0.160412737
578,0,578,1,6.299154,-27.557925,17.651613,8.8258065 Kilometer,8825.8065,577,,,,,1.306398349,0.135800914
579,0,579,1,31.761885,-51.071686,17.626793,8.8133965 Kilometer,8813.3965,578,,,,,1.417468633,0.158309767
580,0,580,1,-10.7134,-45.49962,17.578622,8.789311 Kilometer,8789.311,579,,,,,1.308584186,0.136241806
581,0,581,1,22.542683,-45.028391,17.518802,8.759401 Kilometer,8759.401,580,,,,,1.34663884,0.143956416
582,1,582,1,0.146836,-39.59408,17.509513,8.7547565 Kilometer,8754.7565,581,8181,0.193,-39.489,92.181,1.291956436,0.13281675
583,0,583,1,-1.344377,-30.784962,17.493158,8.746579 Kilometer,8746.579,582,,,,,1.29092525,0.132604813
584,0,584,1,-6.762884,-27.008124,17.476295,8.7381475 Kilometer,8738.1475,583,,,,,1.294024875,0.133239936
585,0,585,1,-3.866409,-24.385262,17.457974,8.728987 Kilometer,8728.987,584,,,,,1.289621161,0.13233678
586,0,586,1,18.522079,-69.421376,17.447679,8.7238395 Kilometer,8723.8395,585,,,,,1.322789823,0.13908431
587,0,587,1,16.92565,-65.087734,17.409645,8.7048225 Kilometer,8704.8225,586,,,,,1.313828263,0.137250826
588,0,588,1,34.558547,-23.070681,17.35913,8.679565 Kilometer,8679.565,587,,,,,1.421398116,0.15851505
589,0,589,1,36.565653,-33.669428,17.35613,8.678065 Kilometer,8678.065,588,,,,,1.441838382,0.162479572
590,0,590,1,3.783849,-50.353727,17.337652,8.668826 Kilometer,8668.826,589,,,,,1.280670698,0.130506144
591,0,591,1,-1.761108,-71.73535,17.315037,8.6575185 Kilometer,8657.5185,590,,,,,1.277906159,0.129943536
592,0,592,1,-0.614121,-69.715698,17.288873,8.6444365 Kilometer,8644.4365,591,,,,,1.275710367,0.129497373
593,0,593,1,3.50175,-27.779524,17.278837,8.6394185 Kilometer,8639.4185,592,,,,,1.276125915,0.129581582
594,0,594,1,32.854822,-49.605121,17.259343,8.6296715 Kilometer,8629.6715,593,,,,,1.397373656,0.153619871
595,0,595,1,-10.125572,-42.802596,17.20483,8.602415 Kilometer,8602.415,594,,,,,1.279534845,0.130262942
596,0,596,1,6.88932,-28.680967,17.173567,8.5867835 Kilometer,8586.7835,595,,,,,1.271777412,0.128697504
597,0,597,1,-7.885797,-26.272272,17.169414,8.584707 Kilometer,8584.707,596,,,,,1.272913287,0.12892567
598,0,598,1,2.649636,-59.46522,17.165754,8.582877 Kilometer,8582.877,597,,,,,1.267266688,0.12778866
599,0,599,1,18.765878,-71.408361,17.140355,8.5701775 Kilometer,8570.1775,598,,,,,1.300460035,0.134420229
600,0,600,1,-8.157639,-53.109358,17.13425,8.567125 Kilometer,8567.125,599,,,,,1.270734176,0.128483996
601,0,601,1,32.448077,-40.383195,17.125436,8.562718 Kilometer,8562.718,600,,,,,1.382977653,0.150558702
602,0,602,1,6.948433,-62.191415,17.101019,8.5505095 Kilometer,8550.5095,601,,,,,1.266484626,0.127628438
603,0,603,1,20.843345,-61.069927,17.073022,8.536511 Kilometer,8536.511,602,,,,,1.304227257,0.135119242
604,0,604,1,18.50428,-35.45846,17.056747,8.5283735 Kilometer,8528.3735,603,,,,,1.293080529,0.132907274
605,0,605,1,17.001785,-70.878253,17.012409,8.5062045 Kilometer,8506.2045,604,,,,,1.284118076,0.131111517
606,0,606,1,-3.057573,-26.435239,16.999298,8.499649 Kilometer,8499.649,605,,,,,1.255200467,0.125366641
607,0,607,1,-6.860576,-47.684632,16.996771,8.4983855 Kilometer,8498.3855,606,,,,,1.258646141,0.126053532
608,0,608,1,-7.352798,-52.228023,16.996092,8.498046 Kilometer,8498.046,607,,,,,1.259273976,0.126178536
609,0,609,1,24.11956,-64.826658,16.983742,8.491871 Kilometer,8491.871,608,,,,,1.313779221,0.13691237
610,0,610,1,26.080291,-23.088897,16.982735,8.4913675 Kilometer,8491.3675,609,,,,,1.325064493,0.139108582
611,0,611,1,26.533046,-47.033175,16.975217,8.4876085 Kilometer,8487.6085,610,,,,,1.3272797,0.139529473
612,0,612,1,34.521783,-50.899184,16.877221,8.4386105 Kilometer,8438.6105,611,,,,,1.381588177,0.149769478
613,0,613,1,5.560103,-67.71023,16.856768,8.428384 Kilometer,8428.384,612,,,,,1.246730596,0.123679412
614,0,614,1,10.33244,-52.685877,16.834953,8.4174765 Kilometer,8417.4765,613,,,,,1.252438237,0.124802963
615,0,615,1,-10.943212,-66.703163,16.81897,8.409485 Kilometer,8409.485,614,,,,,1.252518795,0.124815766
616,0,616,1,32.730231,-46.951251,16.810972,8.405486 Kilometer,8405.486,615,,,,,1.359993976,0.145537222
617,0,617,1,2.34502,-53.815092,16.793097,8.3965485 Kilometer,8396.5485,616,,,,,1.239610387,0.122271742
618,0,618,1,10.633886,-27.351338,16.742747,8.3713735 Kilometer,8371.3735,617,,,,,1.24619266,0.123559829
619,0,619,1,33.123453,-72.670647,16.726861,8.3634305 Kilometer,8363.4305,618,,,,,1.356593673,0.144726327
620,0,620,1,25.23688,-62.439077,16.601194,8.300597 Kilometer,8300.597,619,,,,,1.290367549,0.131991158
621,0,621,1,-5.151044,-65.187432,16.524734,8.262367 Kilometer,8262.367,620,,,,,1.221762036,0.118775181
622,0,622,1,26.098367,-38.663464,16.522227,8.2611135 Kilometer,8261.1135,621,,,,,1.289239761,0.131686381
623,1,623,1,-4.435385,-45.871864,16.509375,8.2546875 Kilometer,8254.6875,622,1068,-4.396,-45.839,28.676,1.219985704,0.118430383
624,0,624,1,23.431767,-35.969259,16.503636,8.251818 Kilometer,8251.818,623,,,,,1.27304406,0.128598637
625,0,625,1,16.418972,-62.276766,16.501699,8.2508495 Kilometer,8250.8495,624,,,,,1.243605701,0.122981061
626,0,626,1,29.744044,-54.56946,16.50062,8.25031 Kilometer,8250.31,625,,,,,1.311512356,0.135848554
627,0,627,1,-9.260095,-54.32876,16.495756,8.247878 Kilometer,8247.878,626,,,,,1.225199432,0.119437488
628,0,628,1,32.208269,-33.365812,16.482832,8.241416 Kilometer,8241.416,627,,,,,1.329098542,0.139101929
629,0,629,1,28.011351,-22.741362,16.473227,8.2366135 Kilometer,8236.6135,628,,,,,1.297384475,0.133158119
630,0,630,1,-3.709242,-36.925843,16.433515,8.2167575 Kilometer,8216.7575,629,,,,,1.21383111,0.117238682
631,0,631,1,-8.044476,-40.188007,16.419734,8.209867 Kilometer,8209.867,630,,,,,1.217568878,0.117957691
632,0,632,1,-8.1524,-52.247891,16.415844,8.207922 Kilometer,8207.922,631,,,,,1.217444794,0.117933412
633,0,633,1,22.688683,-26.523235,16.399097,8.1995485 Kilometer,8199.5485,632,,,,,1.261275532,0.126275494
634,0,634,1,8.416734,-31.330961,16.383258,8.191629 Kilometer,8191.629,633,,,,,1.215439516,0.11754461
635,0,635,1,18.643485,-66.488157,16.383253,8.1916265 Kilometer,8191.6265,634,,,,,1.242548095,0.122718054
636,0,636,1,-11.286799,-25.894683,16.375147,8.1875735 Kilometer,8187.5735,635,,,,,1.220194831,0.118454443
637,0,637,1,34.042567,-52.990231,16.300259,8.1501295 Kilometer,8150.1295,636,,,,,1.330017248,0.138909343
638,0,638,1,27.74647,-35.039555,16.291664,8.145832 Kilometer,8145.832,637,,,,,1.281371951,0.1299207
639,0,639,1,-4.581403,-66.698909,16.287356,8.143678 Kilometer,8143.678,638,,,,,1.203699991,0.115289462
640,0,640,1,9.090997,-33.065087,16.228805,8.1144025 Kilometer,8114.4025,639,,,,,1.205081469,0.115547766
641,0,641,1,35.877852,-49.130084,16.214507,8.1072535 Kilometer,8107.2535,640,,,,,1.340145272,0.14056512
642,0,642,1,16.28734,-69.315771,16.176549,8.0882745 Kilometer,8088.2745,641,,,,,1.218677087,0.118102334
643,0,643,1,8.560794,-25.544841,16.176354,8.088177 Kilometer,8088.177,642,,,,,1.20031582,0.114637056
644,0,644,1,5.40909,-68.452726,16.168558,8.084279 Kilometer,8084.279,643,,,,,1.195676658,0.113757141
645,0,645,1,32.127944,-73.612165,16.161383,8.0806915 Kilometer,8080.6915,644,,,,,1.302531456,0.133610985
646,0,646,1,1.590121,-61.857212,16.156118,8.078059 Kilometer,8078.059,645,,,,,1.192318796,0.113119941
647,0,647,1,12.027806,-21.555361,16.050354,8.025177 Kilometer,8025.177,646,,,,,1.19761358,0.114105763
648,0,648,1,34.881803,-44.543484,16.028898,8.014449 Kilometer,8014.449,647,,,,,1.31541561,0.135679516
649,0,649,1,17.614798,-32.475226,16.026619,8.0133095 Kilometer,8013.3095,648,,,,,1.211795012,0.116744611
650,0,650,1,30.459129,-41.25843,15.946993,7.9734965 Kilometer,7973.4965,649,,,,,1.272599127,0.127806289
651,0,651,1,20.492027,-45.112709,15.937632,7.968816 Kilometer,7968.816,650,,,,,1.216012753,0.117472062
652,0,652,1,11.397678,-32.771619,15.864498,7.932249 Kilometer,7932.249,651,,,,,1.182374689,0.111224207
653,0,653,1,35.706117,-57.426532,15.859007,7.9295035 Kilometer,7929.5035,652,,,,,1.309125191,0.134177997
654,0,654,1,32.727574,-31.868687,15.83006,7.91503 Kilometer,7915.03,653,,,,,1.280614224,0.129043558
655,0,655,1,1.189993,-64.609904,15.79222,7.89611 Kilometer,7896.11,654,,,,,1.16536343,0.108062859
656,0,656,1,0.971222,-28.753873,15.761194,7.880597 Kilometer,7880.597,655,,,,,1.163032023,0.107630915
657,0,657,1,-0.389106,-27.182125,15.71095,7.855475 Kilometer,7855.475,656,,,,,1.15925406,0.106932709
658,0,658,1,26.305786,-38.995825,15.703588,7.851794 Kilometer,7851.794,657,,,,,1.226538884,0.119171263
659,0,659,1,0.569688,-49.490862,15.67417,7.837085 Kilometer,7837.085,658,,,,,1.156555446,0.106435434
660,0,660,1,-2.031076,-45.88006,15.664968,7.832484 Kilometer,7832.484,659,,,,,1.156211224,0.106372071
661,0,661,1,6.737049,-29.869899,15.641662,7.820831 Kilometer,7820.831,660,,,,,1.158144064,0.106726107
662,0,662,1,8.794116,-41.124262,15.633657,7.8168285 Kilometer,7816.8285,661,,,,,1.160408858,0.107140238
663,0,663,1,-8.311862,-26.030482,15.621012,7.810506 Kilometer,7810.506,662,,,,,1.158730477,0.106831669
664,0,664,1,34.172341,-66.275109,15.589827,7.7949135 Kilometer,7794.9135,663,,,,,1.273160815,0.127258934
665,0,665,1,7.849462,-62.971827,15.577539,7.7887695 Kilometer,7788.7695,664,,,,,1.154838982,0.106116215
666,0,666,1,26.354888,-55.946158,15.529501,7.7647505 Kilometer,7764.7505,665,,,,,1.213219501,0.116592923
667,0,667,1,31.233524,-39.448353,15.471041,7.7355205 Kilometer,7735.5205,666,,,,,1.240178843,0.121265447
668,0,668,1,14.462502,-37.390162,15.459555,7.7297775 Kilometer,7729.7775,667,,,,,1.159431054,0.106923685
669,0,669,1,0.447373,-66.264826,15.45259,7.726295 Kilometer,7726.295,668,,,,,1.140194342,0.103445286
670,0,670,1,0.610788,-41.629259,15.389272,7.694636 Kilometer,7694.636,669,,,,,1.135536773,0.102601796
671,0,671,1,32.188811,-27.037567,15.372249,7.6861245 Kilometer,7686.1245,670,,,,,1.239393507,0.120961248
672,0,672,1,30.968051,-50.138718,15.368718,7.684359 Kilometer,7684.359,671,,,,,1.230056126,0.119332462
673,0,673,1,6.320063,-63.583677,15.36288,7.68144 Kilometer,7681.44,672,,,,,1.137025495,0.102869566
674,0,674,1,33.44349,-52.139132,15.304013,7.6520065 Kilometer,7652.0065,673,,,,,1.24377445,0.121594861
675,0,675,1,16.859597,-33.15106,15.279363,7.6396815 Kilometer,7639.6815,674,,,,,1.152850742,0.10567796
676,0,676,1,22.343892,-60.627958,15.274862,7.637431 Kilometer,7637.431,675,,,,,1.173254259,0.109281142
677,0,677,1,30.149084,-33.198932,15.265016,7.632508 Kilometer,7632.508,676,,,,,1.216038034,0.116738094
678,0,678,1,35.265532,-50.508219,15.255501,7.6277505 Kilometer,7627.7505,677,,,,,1.255331791,0.123480705
679,0,679,1,25.085716,-58.881514,15.238746,7.619373 Kilometer,7619.373,678,,,,,1.183674947,0.111075884
680,0,680,1,-0.847127,-21.5382,15.220174,7.610087 Kilometer,7610.087,679,,,,,1.123088411,0.100364485
681,0,681,1,17.141857,-63.245775,15.183865,7.5919325 Kilometer,7591.9325,680,,,,,1.146536808,0.104518207
682,0,682,1,-5.516638,-21.97216,15.178872,7.589436 Kilometer,7589.436,681,,,,,1.122586825,0.100274046
683,0,683,1,-1.762218,-63.291871,15.135406,7.567703 Kilometer,7567.703,682,,,,,1.117036612,0.099285757
684,0,684,1,-0.305198,-35.282362,15.110262,7.555131 Kilometer,7555.131,683,,,,,1.114925032,0.098910752
685,0,685,1,6.200394,-21.572962,15.022257,7.5111285 Kilometer,7511.1285,684,,,,,1.111686626,0.098335636
686,0,686,1,9.993284,-23.439961,15.018571,7.5092855 Kilometer,7509.2855,685,,,,,1.116703386,0.099217749
687,0,687,1,10.317216,-41.327631,15.002986,7.501493 Kilometer,7501.493,686,,,,,1.116116262,0.099112257
688,0,688,1,-4.798492,-57.978206,14.982492,7.491246 Kilometer,7491.246,687,,,,,1.107434063,0.097585552
689,0,689,1,35.150335,-27.417499,14.967935,7.4839675 Kilometer,7483.9675,688,,,,,1.230662931,0.118700405
690,0,690,1,1.198034,-42.075079,14.960374,7.480187 Kilometer,7480.187,689,,,,,1.103977749,0.096977818
691,0,691,1,14.831594,-42.7704,14.907301,7.4536505 Kilometer,7453.6505,690,,,,,1.11897614,0.099587775
692,0,692,1,-9.418115,-57.957455,14.904957,7.4524785 Kilometer,7452.4785,691,,,,,1.107293817,0.097554459
693,0,693,1,-8.463765,-70.827452,14.902677,7.4513385 Kilometer,7451.3385,692,,,,,1.105661391,0.097269376
694,0,694,1,19.495986,-29.469916,14.898635,7.4493175 Kilometer,7449.3175,693,,,,,1.13297899,0.102006409
695,0,695,1,30.050116,-49.59088,14.898002,7.449001 Kilometer,7449.001,694,,,,,1.186141122,0.111080261
